StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,gender_respondent,age,citizenship,race,race_5_TEXT,city_1,ideology,party,employment,education_alt,military,military_5_TEXT,military_family,bp1,bp2,bp3,bp4,bp5,bp6,bp7,cp1,cp2,cp3,cp4,cp5,cp6,cp7,ns1,ns2,ns3,ns4,pp_1,pp_2,pp_3,pp_4,pp_5,mc_general,mc_economy,mc_security,mc_culture,attention1,attentıon2,random_id,Random ID,threat_v,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Lütfen cinsiyetinizi belirtiniz,Kaç yaşındasınız? Lütfen sadece rakam giriniz.,Türk vatandaşı mısınız?,Lütfen sayacağım gruplardan kendinizi hangisine en çok ait hissettiğinizi söyleyebilir misiniz? - Selected Choice,Lütfen sayacağım gruplardan kendinizi hangisine en çok ait hissettiğinizi söyleyebilir misiniz? - Diğer (lütfen belirtiniz) - Text,Hangi şehirde yaşıyorsunuz? - Şehir,Siyasette 'sağ’a mı daha yakınsınız ve 'sol’a mı?,Hükûmete mi daha yakın hissediyorsunuz muhalefete mi?,Şu anki çalışma durumunuz nedir?,İlkokul 1. sınıftan itibaren toplam kaç yıllık eğitim gördünüz?,Askerlik yaptınız mı? - Selected Choice,Askerlik yaptınız mı? - Diğer - Text,Ailenizden birisi (uzun veya kısa dönem) askerlik yaptı mı?,Türkiye'yi gönülden desteklemeyenler başka yerde yaşamalı.,Bu ülkeyi eleştirmek Türklüğe yakışmaz.,Dünyada Türkiye'ye yönelik çok fazla eleştiri var ve biz vatandaşlarının eleştirmemesi gerekiyor.,Doğru ya da yanlış her konuda ülkemi desteklerim.,Türkiye neredeyse her zaman haklıdır.,Cumhurbaşkanının partisinden bağımsız olarak Türkiye politikalarının neredeyse her zaman ahlaki açıdan doğru olduğuna inanıyorum.,"Türkiye'nin dış politikasını, sırf kendi ülkemin dış politikası olması nedeniyle bile destekliyorum.",Bu ülkeyi eleştirenlere bile tam bir ifade özgürlüğü vermeliyiz.,Türkiye'yi eleştirmek birini daha az Türk yapmaz.,"Dış politikamızı protesto eden ve gösteri yapan insanların büyük çoğunluğu iyi, dürüst ve zeki insanlardır.","Türkiye'yi seviyorsanız, onun sorunlarını görmeli ve düzeltmeye çalışmalısınız.",Eğer Türkiye'yi eleştiriyorsam bunu ülkeme olan sevgimden yapıyorum.,Bazı dış politikalara karşı çıkıyorum çünkü ülkemi önemsiyorum ve onu geliştirmek istiyorum.,"Ülkeme olan sevgim, popüler olan ancak potansiyel olarak ülke aleyhine olan dış politika kararlarını eleştirmemi gerektiriyor.",Spor müsabakalarında İstiklal Marşı çalınmalı.,Bu ülkedeki herkes Çanakkale Savaşı'nı anmalı.,Bayrağımıza saygısızlık edenlerin hukuki yaptırımları olmalı.,Okullarda Andımız okutulmalı.,Diğer ülkelerin vatandaşları da şartlar ne olursa olsun kendi vatanları için savaşmalıdırlar.,"Başka ülkelerin vatandaşları, hangi ülkeden olurlarsa olsunlar, ülkelerine her şekilde hizmet etmelidirler.",Türkiye dışındaki ülkelerin vatandaşları daima kendi ülkelerine öncelik vermelidir.,"Kendi ülkesini savunmak asil bir vatanseverlik görevidir ve bireyler kendi ülkelerini, benim ülkeme karşı bile olsa savunmalıdırlar.",Diğer ülkelerin yurttaşları kendi ulusal politikalarını her koşulda desteklemelidir.,Bu ankette bahsedilen göç hikayesinde ismi geçen ülke hangisidir?,Bu ankette okuduğunuz notta göçmenlerin hangi olası etkisinden söz edilmiştir?,Bu ankette okuduğunuz notta göçmenlerin hangi olası etkisinden söz edilmiştir?,Bu ankette okuduğunuz notta göçmenlerin hangi olası etkisinden söz edilmiştir?,Şu an tamamlamakta olduğunuz anket aşağıdakilerden hangisiyle ilgilidir?,Dikkatinizi verdiğinizi göstermek için lütfen seçeneklerden 4'ü seçiniz.,Çekilişe katılmak istiyorsanız lütfen e-posta adresinizi giriniz.,Random ID,threat_v,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_5_TEXT""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID63_5_TEXT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID84""}","{""ImportId"":""QID83""}","{""ImportId"":""QID82""}","{""ImportId"":""QID81""}","{""ImportId"":""QID80""}","{""ImportId"":""QID89""}","{""ImportId"":""QID79""}","{""ImportId"":""QID78""}","{""ImportId"":""QID77""}","{""ImportId"":""QID76""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""threat_v""}","{""ImportId"":""Q_DataPolicyViolations""}"
2025-03-17 08:47:20,2025-03-17 08:48:36,Survey Preview,,100,75,True,2025-03-17 08:48:37,R_7GIQ81jqQmbGevT,,,,,40.5163,-74.2696,preview,EN,Erkek,d,Evet,Türk,,Adıyaman,Sağ,Hükûmet,İşsiz ve iş arayan,5,,,,2,2,4,5,3,2,1,2,3,3,4,2,4,,2,2,3,2,4,3,1,2,1,,,,Kültürel,Göç,3,,89129,culture,
2025-03-17 09:29:12,2025-03-17 09:29:13,Survey Test,,100,1,True,2025-03-17 09:29:13,R_6n7zzM4CyeFrsHA,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Dui lectus? Praesent temporibus porttitor nibh euismod luctus turpis ultricies sed.,Evet,Boşnak,,Kırklareli,Sol,Hükûmet,İşsiz ve iş arayan,"Montes, placerat facilisi arcu maecenas atque eget elit posuere sollicitudin.",Bedelli,,Hayır,1,3,5,3,2,2,1,3,1,5,2,1,2,1,2,2,5,2,1,4,4,3,1,,,,,Göç,2,Nulla dignissim. Ligula mi rhoncus cras augue purus facilisi porttitor facilisis laoreet venenatis gravida vulputate.,47513,placebo,
2025-03-17 09:29:13,2025-03-17 09:29:13,Survey Test,,100,0,True,2025-03-17 09:29:13,R_02o1iO4xPDVR9Fs,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Per dapibus posuere fermentum justo platea, fringilla enim eleifend euismod.",Evet,Diğer (lütfen belirtiniz),Aliquet vestibulum nullam auctor magna neque nulla fermentum a odio.,Afyonkarahisar,Sol,Hiçbirisi,İşsiz ve iş arayan,"Malesuada? Pharetra. Gravida? Elementum cras integer, accusamus, nulla commodo? Nibh porttitor. Tempora lacus faucibus consequat.",Diğer,Vivamus ab justo porttitor nunc. Non molestie. Vivamus. Dapibus lorem? Consectetuer eros iaculis.,Evet,1,4,5,2,5,1,5,2,2,1,1,4,4,5,3,2,2,1,4,1,2,4,5,,,,,Tıp,4,"Magna posuere nonummy potenti leo odio blandit magna, sapien lorem dapibus ante augue pellentesque.",91034,placebo,
2025-03-17 09:29:13,2025-03-17 09:29:13,Survey Test,,100,0,True,2025-03-17 09:29:13,R_2bNESh21YdNb6Z0,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Bibendum sapien aliquam etiam tempora sit ut massa tincidunt tortor ac, nunc.",Evet,Türk,,Şırnak,Ne sağ ne sol,Muhalefet,İşsiz fakat iş aramayan,"Id cras sagittis, nulla, mattis dolorem euismod molestie commodo potenti rhoncus posuere eleifend dignissim.",Diğer,"Vel. Ullamcorper ut etiam pede accusamus. Potenti lectus? Metus dapibus malesuada, ipsum fusce.",Hayır,5,3,5,3,3,4,5,2,3,1,2,4,3,2,1,3,3,5,2,5,2,1,4,,,,,Tıp,1,Cursus ullamcorper dictumst. Cursus accusamus potenti blandit. Nibh facilisis integer? Ligula.,32621,placebo,
2025-03-17 09:29:13,2025-03-17 09:29:14,Survey Test,,100,1,True,2025-03-17 09:29:14,R_73NMMUjiYc9r44S,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Nonummy fringilla? Aliquet per commodo vel temporibus. Auctor integer morbi.,Hayır,Boşnak,,Denizli,Ne sağ ne sol,Muhalefet,Yarı zamanlı çalışan,"Fringilla iaculis sit lectus primis tortor, sagittis mauris cursus dictumst augue magna.",Yapma zorunluluğum yok,,Hayır,1,5,4,4,5,5,4,4,2,2,1,5,4,3,3,1,1,4,5,3,4,1,2,,,,Ekonomik,Hayvan hakları,2,Accusamus posuere augue tempus eleifend! Vestibulum suscipit posuere vestibulum gravida curabitur consectetuer phasellus.,94502,culture,
2025-03-17 09:29:14,2025-03-17 09:29:14,Survey Test,,100,0,True,2025-03-17 09:29:14,R_2h5I8DsCyJgpox0,,,,,,,test,,Kadın,Phasellus leo ab augue faucibus potenti aliquet gravida pellentesque temporibus. Euismod nullam proin natoque commodo.,Hayır,Bilmiyorum,,Muğla,Sağ,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,Commodo! Vivamus tincidunt! Sodales lectus temporibus pede praesent. Faucibus etiam ipsum posuere? Massa.,Diğer,Vitae ab montes ligula? Accusamus odio dolorem ipsum fringilla tellus dolor accusamus luctus.,Hayır,4,1,4,4,3,3,4,5,5,3,3,4,2,2,4,3,4,2,2,4,1,1,4,,,,,Hayvan hakları,4,Iaculis! Nullam velit aliquet fusce ullamcorper! Tortor in morbi vivamus laoreet aliquet neque venenatis.,74165,placebo,
2025-03-17 09:29:14,2025-03-17 09:29:14,Survey Test,,100,0,True,2025-03-17 09:29:15,R_dh79YLMw3UrO9im,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Cras, purus sagittis facilisi quis. Proin. Fermentum bibendum, orci. Temporibus posuere donec massa egestas.",Evet,Cevap vermek istemiyorum,,Trabzon,Sağ,Muhalefet,Emekli,"Porta. Eget tempora lorem velit, duis tempus! Rhoncus odio. Aliquet.",Bedelli,,Hayır,4,4,1,1,4,1,2,3,1,2,5,3,4,5,3,2,4,5,2,4,5,4,4,,Güvenlik,,,Astronomi,4,Pretium euismod arcu! In vivamus diam mi sapien massa commodo cras.,63270,economy,
2025-03-17 09:29:15,2025-03-17 09:29:15,Survey Test,,100,0,True,2025-03-17 09:29:15,R_ehsYhLOBvy8TtlA,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Praesent eget dapibus eleifend quis! Non primis eget ligula arcu.,Evet,Türk,,Şanlıurfa,Sağ,Hükûmet,Tam zamanlı çalışan/İşyeri sahibi,Sodales ab quam. Ligula nunc pellentesque consequat porta ligula mauris accusamus diam.,Yapma zorunluluğum yok,,Evet,3,4,3,3,5,2,3,5,3,3,4,3,2,4,5,1,3,1,3,5,2,1,5,,,,Güvenlik,Hayvan hakları,3,"Accusamus, massa felis ridiculus magnis integer suspendisse. Integer commodo sollicitudin blandit? Orci.",21812,culture,
