StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolificID,race,race_5_TEXT,age,citizenship,gender_respondent,ideology,party,employment,"education_alt ",military,military_family,bp1,bp2,bp3,bp4,bp5,bp6,bp7,cp1,cp2,cp3,cp4,cp5,cp6,cp7,ns1,ns2,ns3,ns4,pp_1,pp_2,pp_3,pp_4,pp_5,mc_general,mc_economy,mc_security,mc_culture,attention1,attention2,Random ID,threat_v,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Prolific ID?,Please specify your race/ethnicity. - Selected Choice,Please specify your race/ethnicity. - Other (please specify) - Text,How old are you? Please only enter numbers,Are you a citizen of the United States?,Please specify your gender,Which political stance do you feel closer to?,Which political party do you feel closer to?,What is your current employment status?,"How many years of education have you completed, starting from 1st grade?",Have you ever served in military?,Has anyone in your family served in military?,People who do not wholeheartedly support America should live somewhere else,It is un-American to criticize this country.,"There is too much criticism of the U.S. in the world, and we its citizens should not criticize it.",I would support my country right or wrong.,The United States is virtually always right.,"I believe that U.S. policies, independent of party of president, are almost always the morally correct ones.","I support U.S. constitution, for the very reason that it is the constitution of my country.",We should have complete freedom of speech even for those who criticize this country.,Criticizing the United States does not make one less American.,"For the most part, people who protest and demonstrate against the constitution are good, upstanding, intelligent people.","If you love America, you should notice its problems and work to correct them.","If I criticize the United States, I do so out of love for my country.",I oppose some constitutional amendments because I care about my country and want to improve it.,My love of country demands that I speak out against popular but potentially destructive amendments in constitution.,National anthem should be played at sports events,Everyone in this country should celebrate Independence Day with joy,There should be legal repercussions for those who disrespect our national flag,Pledge of allegiance should be recited by students,People who are not Americans should feel loyal to their own country.,"Citizens of other countries should serve their country in any way they can, independent of what their country is.",I value the importance of non-Americans prioritizing their own country.,"Defending one’s country is a noble patriotic duty, and individuals should defend their own country even if it is against my country.","No matter what those policies are, people of other countries should support their own national policy.","In the vignette, migration from which region was emphasized?","In the vignette, as a result of migration, which of the following potential impact was emphasized?","In the vignette, as a result of migration, which of the following potential impact was emphasized?","In the vignette, as a result of migration, which of the following potential impact was emphasized?",The survey you are completing at the moment is about the following:,Please select '4' to show that you are paying attention.,Random ID,threat_v,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID90""}","{""ImportId"":""QID90_5_TEXT""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID84""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""Random ID""}","{""ImportId"":""threat_v""}","{""ImportId"":""Q_DataPolicyViolations""}"
2025-03-17 09:29:23,2025-03-17 09:29:23,Survey Test,,100,0,True,2025-03-17 09:29:23,R_3dtBjdCQI0xu2KG,,,,,,,test,,Molestie vestibulum gravida in ipsum interdum posuere tortor fermentum! Eros rutrum.,White/Caucausian,,Sollicitudin neque mi viverra mattis sagittis est ullamcorper in in rhoncus at euismod dui. Gravida.,Yes,Neither/Prefer not to say,Liberal,Independent,Retired,"Platea pharetra. Lorem per malesuada at quis! Sagittis iaculis, neque.",No,No,1,2,4,4,4,5,2,3,1,2,2,2,3,2,4,1,4,5,4,1,1,4,1,Africa,,,,Medicine,4,65657,general,
2025-03-17 09:29:23,2025-03-17 09:29:24,Survey Test,,100,1,True,2025-03-17 09:29:24,R_7UJJSV4fg9mm2KW,,,,,,,test,,Purus. Lectus scelerisque tempor atque. Justo rutrum curabitur! Augue! Proin integer ac atque.,Unknown,,"Rutrum. Amet cras pede potenti nullam facilisi est vestibulum pede, venenatis ridiculus nunc? Vivamus auctor.",No,Female,Liberal,Democrat Party,Employed part-time,Duis est suscipit viverra? Orci blandit? Montes quis platea venenatis.,No,Prefer not to answer,5,5,4,1,4,2,4,3,2,4,3,1,1,3,4,4,1,2,5,3,3,2,1,,,Economy,,Migration,2,91820,security,
2025-03-17 09:29:24,2025-03-17 09:29:24,Survey Test,,100,0,True,2025-03-17 09:29:24,R_9XOGMqkbsdBkinc,,,,,,,test,,"A accumsan vitae imperdiet ut ullamcorper a, orci. Cursus tempus iaculis.",Hispanic/Latino,,Eleifend interdum maecenas. Culpa purus elementum! Diam? Nulla dictumst erat non.,Yes,Neither/Prefer not to say,Conservative,Republican Party,Employed part-time,Eu. Purus sagittis eleifend a wisi? Augue aliquam auctor vivamus ultrices velit? Sollicitudin.,No,Yes,5,4,5,2,1,1,3,2,1,2,1,3,2,3,4,3,2,1,2,2,1,2,2,,Security,,,Medicine,3,98774,economy,
2025-03-17 09:29:24,2025-03-17 09:29:24,Survey Test,,100,0,True,2025-03-17 09:29:24,R_6LtW7kP2eSd2xim,,,,,,,test,,Dictumst. Commodo. Sed! Tempor laoreet id imperdiet iaculis suspendisse tempora porttitor mattis rhoncus sapien.,Native American,,"Lectus pretium dapibus proin, massa lacus! Vulputate euismod odio, urna eu gravida.",No,Neither/Prefer not to say,Conservative,Independent,Retired,"At, praesent odio. Porttitor metus blandit eros pretium tempora risus pellentesque.",Yes,Yes,2,3,5,3,4,4,1,5,2,5,5,3,3,5,4,5,2,1,3,5,2,1,3,,,,,Astronomy,1,86357,placebo,
2025-03-17 09:29:24,2025-03-17 09:29:25,Survey Test,,100,1,True,2025-03-17 09:29:25,R_a928Q1QkEfRWMBw,,,,,,,test,,"Felis velit tortor scelerisque, neque magnis mauris pede? Duis atque tincidunt aenean magnis. Neque nibh.",Native Hawaiian or Pacific Islander,,"Sapien maecenas. Culpa, tincidunt ultrices nec in tempora aliquam pretium.",Yes,Neither/Prefer not to say,Neither Conservative nor Liberal,Democrat Party,Employed part-time,Ridiculus per magna ultricies dui! Tellus atque. Praesent dolor rutrum atque.,No,Prefer not to answer,4,4,3,4,2,3,2,1,1,2,3,1,5,1,3,4,1,5,1,4,5,4,1,,Culture,,,Migration,3,36512,economy,
2025-03-17 09:29:25,2025-03-17 09:29:25,Survey Test,,100,0,True,2025-03-17 09:29:25,R_7TYbvubxPTeiUES,,,,,,,test,,"Amet! Accumsan mi placerat. Facilisi justo curabitur urna ultricies iaculis eget porta, porta.",African-American/Black,,Per mattis viverra dignissim neque. Purus cras auctor. Ac. Elit integer viverra sem quis.,Yes,Male,Neither Conservative nor Liberal,Republican Party,Currently unemployed and seeking opportunities,Morbi temporibus curabitur vulputate a ac. Dolor etiam tellus diam phasellus. Lacus amet.,Yes,Yes,4,5,2,1,2,5,1,2,1,4,1,1,1,3,4,5,4,3,1,2,4,1,4,,,Security,,Migration,2,56194,security,
2025-03-17 09:29:25,2025-03-17 09:29:25,Survey Test,,100,0,True,2025-03-17 09:29:25,R_8eKpUM23VGG1ooK,,,,,,,test,,Odio ut suscipit enim faucibus! Enim elementum? Interdum magnis massa natoque luctus elit nunc pede.,Two or more,,"Volutpat? Lorem tortor porttitor enim? Bibendum eu potenti dui. A orci proin fusce, nullam.",No,Neither/Prefer not to say,Neither Conservative nor Liberal,Democrat Party,Currently unemployed and seeking opportunities,Eget sapien! Cras erat scelerisque vulputate urna vehicula purus potenti. Nonummy quis.,Prefer not to answer,No,1,1,4,3,1,2,2,4,3,2,3,3,4,2,3,4,3,5,4,1,5,3,2,,Security,,,Medicine,2,85201,economy,
2025-03-17 09:29:25,2025-03-17 09:29:26,Survey Test,,100,1,True,2025-03-17 09:29:26,R_eEFTmOks3JJPxHM,,,,,,,test,,Accusamus. Placerat pellentesque lectus eros ligula. Porttitor turpis morbi eros tempora nunc phasellus vehicula.,White/Caucausian,,"Metus etiam nec vestibulum odio aliquam elit tincidunt metus, primis. Placerat blandit risus eros fringilla.",No,Male,Conservative,Republican Party,Employed full-time/Self-employed,Vehicula! Ipsum pretium felis? Sem. Dignissim egestas ridiculus atque aliquet rutrum massa ridiculus venenatis tincidunt.,Yes,Prefer not to answer,4,3,3,2,1,4,4,1,3,5,1,1,2,1,4,2,1,3,1,2,1,4,3,,Security,,,Medicine,4,78774,economy,
